vid_id,language,duration_bucket,content_type,strategy,strategy_description,video_duration_sec,scene_count,adaptive_scene_count,scene_reduction_vs_adaptive_pct,coverage_15s_pct
ru_long_screencast,ru,long,screencast,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,969.82,10,119,91.60,27.53
ru_long_screencast,ru,long,screencast,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,969.82,20,119,83.19,58.46
ru_long_screencast,ru,long,screencast,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,969.82,30,119,74.79,87.23
ru_long_screencast,ru,long,screencast,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,969.82,17,119,85.71,52.07
ru_long_screencast,ru,long,screencast,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,969.82,33,119,72.27,99.92
ru_long_practical_demo,ru,long,practical_demo,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,955.20,81,81,0.00,96.11
ru_long_practical_demo,ru,long,practical_demo,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,955.20,10,81,87.65,28.89
ru_long_practical_demo,ru,long,practical_demo,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,955.20,20,81,75.31,59.67
ru_long_practical_demo,ru,long,practical_demo,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,955.20,30,81,62.96,78.62
ru_long_practical_demo,ru,long,practical_demo,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,955.20,16,81,80.25,50.36
ru_long_practical_demo,ru,long,practical_demo,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,955.20,32,81,60.49,99.04
